Demand Balances by Primary Good
scenario,region,input,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Corn,FeedCrops,10.7046,23.5216,27.3877,23.8029,24.2532,25.0508,25.7433,25.9041,25.8419,25.9944,26.5219,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Corn,FoodDemand_Crops,3.30707,4.55561,4.78951,4.99434,5.17241,5.39103,5.58097,5.69075,5.77004,5.81913,5.83425,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Corn,NonFoodDemand_Crops,11.7723,11.7041,16.3215,17.0084,17.6441,18.2031,18.6551,19.0002,19.243,19.3845,19.4127,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,FiberCrop,FeedCrops,0.32509,0.735647,0.664555,0.570675,0.594881,0.629085,0.664195,0.703968,0.741963,0.77619,0.804681,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,FiberCrop,FoodDemand_Crops,0.104615,0.210593,0.23143,0.241327,0.249932,0.260495,0.269674,0.274978,0.278809,0.281181,0.281912,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,FiberCrop,NonFoodDemand_Crops,1.79482,2.39661,2.62217,2.73252,2.83465,2.92446,2.99708,3.05253,3.09154,3.11427,3.1188,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,FodderHerb,FodderHerb_Residue,38.3451,49.1517,54.6512,59.182,62.5862,69.2092,75.7614,80.5708,85.0621,89.0441,92.1683,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,Forest,NonFoodDemand_Forest,0.196521,0.254425,0.268736,0.280045,0.290512,0.299717,0.307159,0.312841,0.316839,0.319169,0.319633,0.0,0.0,0.0,billion m3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,MiscCrop,FeedCrops,5.66E-5,8.57E-5,3.45E-5,3.00413E-5,3.17769E-5,3.40191E-5,3.62725E-5,3.77965E-5,3.92974E-5,4.07715E-5,4.22013E-5,0.0,0.0,0.0,Mt,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,MiscCrop,FoodDemand_Crops,23.0128,32.1638,36.7144,38.2846,39.6496,41.3254,42.7815,43.623,44.2308,44.6071,44.723,0.0,0.0,0.0,Mt,
