Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86331E-10,3.27917E-9,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0132966,0.0420959,0.1477448,0.39016449,0.37431968000000004,0.1783000612,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6676E-10,2.3538E-9,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,biomass (conv),water withdrawals,0.0841176,0.296255,0.686526,0.779842,0.7587092999999999,0.8122649000000001,0.9090070000000001,1.0204179,0.84078527,0.35278187000000005,0.0904286767,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,coal (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34293E-10,5.39597E-9,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00393604,0.00991506,0.01011151,0.0095063984,0.00666717168,0.003003715542,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,coal (conv pul CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52933E-9,1.34432E-8,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,coal (conv pul),water withdrawals,0.108932,0.246141,0.259798,0.380308,0.40423499999999996,0.41372109999999995,0.37880680000000005,0.06471916,0.012858299,0.0063277582,0.0024889050729999997,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,gas (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0428E-9,2.71509E-8,1.78685E-7,0.0,0.0,0.0,km^3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,electricity,gas (CC),water withdrawals,0.00156968,0.0864864,0.150986,0.288064,0.3178087,0.3709244,0.43676970000000004,0.4764038,0.3604346,0.14984946,0.04940092,0.0,0.0,0.0,km^3,
