Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,1.56775E-4,0.001157585,0.005917915,0.016732015,0.034726915,0.06404531499999999,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.00161477,0.00421788,0.01310086,0.03837765,0.11338715,0.24963615,0.42122405,0.60766403,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,Gen_II_LWR,water withdrawals,0.0620654,0.273428,0.402943,0.372376,0.35491,0.329436,0.294575,0.250815,0.201471,0.152127,0.108368,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,PV,water withdrawals,0.0,0.0,0.0,4.9302E-6,7.51347E-6,1.6843049999999998E-5,4.337095E-5,1.2086765E-4,2.6480765E-4,4.0380244999999997E-4,4.7350098E-4,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,4.41892E-8,6.74819E-8,1.514344E-7,3.907124E-7,1.0859054000000002E-6,2.4280654000000004E-6,4.3310962000000005E-6,7.143593499999999E-6,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00253134,0.01652554,0.10743204,0.27055335999999996,0.45090514000000004,0.62536273,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0104482,0.029951199999999997,0.04344902,0.04284188,0.02145886,0.006496393,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0250815,0.2228394,2.6840595,5.7753049,8.159440499999999,10.1295244,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,biomass (conv),water withdrawals,0.0841176,0.296255,0.686526,0.779842,0.7583236,0.7946706,0.8427089999999999,0.796426,0.5306671,0.22404741,0.063699707,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,coal (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,4.10763E-4,0.0035465310000000003,0.02313787,0.061132723,0.107075048,0.154524667,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00363194,0.00906818,0.01055499,0.00877816,0.004472561999999999,0.0014309911,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,coal (conv pul CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00409433,0.0323731,0.19011373,0.47408355999999996,0.7893549900000001,1.09652278,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,coal (conv pul),water withdrawals,0.108932,0.246141,0.259798,0.380308,0.40374049999999995,0.41627339999999996,0.4043509,0.24156337,0.12804784000000002,0.04751638600000001,0.012921606999999998,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,gas (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00735826,0.04133117,0.20671405999999998,0.5255126999999999,0.9135541899999999,1.30632553,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,gas (CC),water withdrawals,0.00156968,0.0864864,0.150986,0.288064,0.3172924,0.3633213,0.4234421,0.45457800000000004,0.46024689999999996,0.4188288,0.32307457000000006,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,gas (steam/CT),water withdrawals,0.00221138,0.140544,0.324561,0.3079256,0.29593668,0.27825458,0.24668070999999997,0.16277044000000002,0.10012117999999999,0.04811873,0.017673448,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.0045416,0.0067173400000000005,0.01479253,0.03751583,0.09694472000000001,0.18523869,0.27289870000000005,0.35543388,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,refined liquids (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.334571,1.194899,2.985273,4.594715000000001,5.983775,6.957008999999999,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0962573,0.1783129,0.2951332,0.2583639,0.2023929,0.13874209999999998,0.07353167,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,electricity,refined liquids (steam/CT),water withdrawals,0.112361,0.265781,0.365626,0.500193,0.5040192,0.5148303,0.4870409,0.3213337699999999,0.18049515000000002,0.09963187,0.0474214,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,CSP,water withdrawals,0.0,0.0,0.0,5.0613E-5,1.63031E-4,3.15183E-4,5.230160000000001E-4,9.299330000000001E-4,0.0013134120000000001,0.001746763,0.0021831669999999997,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00135811,0.00723705,0.027585850000000002,0.049970650000000005,0.08294405,0.12634935,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738044,0.23147030000000002,0.46804429999999997,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,PV,water withdrawals,0.0,0.0,2.592E-7,3.83964E-5,9.82602E-5,1.346068E-4,1.7464260000000001E-4,2.3910560000000002E-4,2.927011E-4,3.171727E-4,3.234989E-4,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,3.42096E-7,9.21225E-7,2.497395E-6,5.543605E-6,1.1984065E-5,1.8005165E-5,2.5395818999999997E-5,3.391548E-5,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.001229,0.00332544,0.03101638,0.05912056,0.096715,0.13966805,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Central America and Caribbean,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00692316,0.018827,0.02719933,0.032284,0.03324801,0.02399881,0.0,0.0,0.0,km^3,
