Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0117114,0.0264314,0.044069,0.06524920000000001,0.08833060000000001,0.1100958,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,coal (conv pul),water withdrawals,0.108932,0.246141,0.259798,0.380308,0.3997089,0.5653277999999999,0.7294284,0.8904949000000001,1.0545555,1.2139108,1.3500492,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,gas (CC),water withdrawals,0.00156968,0.0864864,0.150986,0.288064,0.31308100000000005,0.5207314000000001,0.7307946000000001,0.9402478999999999,1.1498488,1.345472,1.5046793,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,gas (steam/CT),water withdrawals,0.00221138,0.140544,0.324561,0.3079256,0.29523429999999995,0.30702905,0.31116107000000004,0.30825146,0.30080982,0.29104789000000003,0.27881139,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.0045416,0.00646745,0.02479365,0.04814285,0.07544753000000001,0.10630567999999999,0.13399011000000002,0.1611863,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0867638,0.8550277000000001,1.6791306000000001,2.5274408,3.3481534,4.1153026,4.8631924,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Brazil,electricity,refined liquids (steam/CT),water withdrawals,0.112361,0.265781,0.365626,0.500193,0.5023962,0.690496,0.7940622,0.8249823000000001,0.8166883,0.7989771999999999,0.7946668,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,CSP,water withdrawals,0.0,0.0,0.0,5.0613E-5,1.63643E-4,3.31163E-4,5.105649999999999E-4,7.246179999999999E-4,9.796269999999998E-4,0.001224975,0.001423555,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.001229,0.0060776400000000005,0.01531149,0.027884390000000002,0.04434159,0.06362539,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446815,0.13168190000000002,0.25111680000000003,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,PV,water withdrawals,0.0,0.0,2.592E-7,3.83964E-5,9.90524E-5,1.458826E-4,1.815424E-4,2.1784700000000002E-4,2.559655E-4,2.591752E-4,2.395125E-4,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,3.42096E-7,9.202530000000001E-7,2.346583E-6,4.8589330000000005E-6,7.781473E-6,1.1163363E-5,1.4680737000000001E-5,1.8144930000000002E-5,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00815531,0.01987096,0.03423313,0.05044953,0.06886293,0.08815229,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,biomass (conv),water withdrawals,0.0461794,0.053686,0.086645,0.08176749999999999,0.1308804,0.17927379999999998,0.23977900000000002,0.3045332,0.3629101,0.42200846,0.48054279,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00186358,0.00470297,0.008438359999999999,0.01303417,0.018681339999999998,0.025129519999999995,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,coal (conv pul),water withdrawals,9.85147E-4,0.0508691,0.0711709,0.09810930000000001,0.122367,0.146836,0.17666890000000002,0.2090265,0.24281179999999997,0.2808672,0.32182750000000004,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,gas (CC),water withdrawals,0.0,0.0,0.0,0.00599885,0.01371485,0.02737897,0.05081,0.08444304,0.12557157000000002,0.17337144999999998,0.22280898,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,gas (steam/CT),water withdrawals,0.078209,0.255194,0.350651,0.40141699999999997,0.4453402,0.4858448000000001,0.5191199,0.5339993000000001,0.529462,0.5145552999999999,0.4954569,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,geothermal,water withdrawals,0.00350078,0.0113765,0.014238,0.0277979,0.0399531,0.0461573,0.04627912,0.04631744000000001,0.047606249999999996,0.047064510000000004,0.046717289999999995,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.266648,0.640347,1.176189,1.787904,2.421026,3.078802,3.68085,0.0,0.0,0.0,km^3,
"Reference,date=2018-3-8T17:45:07-04:00",Central America and Caribbean,electricity,refined liquids (steam/CT),water withdrawals,0.763329,1.39452,1.40273,1.4353019999999999,1.4724160000000002,1.4788580000000002,1.4301290000000002,1.3222669,1.1837893000000002,1.0397926000000002,0.9091548999999999,0.0,0.0,0.0,km^3,
