Demand Balances by Primary Good
scenario,region,input,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Root_Tuber,FeedCrops,0.0374669,0.0644815,0.0918075,0.0834573,0.0894616,0.0962297,0.102933,0.0986253,0.0927667,0.0859336,0.0785357,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Root_Tuber,FoodDemand_Crops,2.08488,1.84519,1.78459,1.86713,1.94341,2.02504,2.10094,2.15183,2.19641,2.23144,2.25789,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Root_Tuber,NonFoodDemand_Crops,0.351958,0.323365,0.385649,0.401233,0.415786,0.42885,0.440454,0.450608,0.459416,0.466211,0.471202,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,SugarCrop,FeedCrops,0.26239,0.413017,0.608539,0.557316,0.628322,0.657171,0.684156,0.761677,0.834973,0.880617,0.919142,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,SugarCrop,FoodDemand_Crops,1.08501,1.6011,1.63114,1.70659,1.77631,1.85092,1.92029,1.96681,2.00756,2.03957,2.06375,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,SugarCrop,NonFoodDemand_Crops,14.0835,21.1261,22.6727,23.5889,24.4445,25.2125,25.8948,26.4917,27.0095,27.409,27.7024,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Wheat,FeedCrops,0.0800818,0.0697918,0.08017,0.0745325,0.0799942,0.0876205,0.0965142,0.104507,0.11058,0.114181,0.114966,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Wheat,FoodDemand_Crops,3.7404,4.47018,3.69081,3.86152,4.01929,4.1881,4.34508,4.45033,4.54253,4.61497,4.66969,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Argentina,Wheat,NonFoodDemand_Crops,1.0184,1.45727,1.89948,1.97624,2.04792,2.11227,2.16942,2.21943,2.26282,2.29628,2.32087,0.0,0.0,0.0,Mt,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Brazil,Corn,FeedCrops,10.7046,23.5216,27.3877,23.8029,24.2111,24.9817,25.5194,25.4558,25.5511,25.6129,25.8708,0.0,0.0,0.0,Mt,
