Demand Balances by Primary Good
scenario,region,input,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,Wheat,FoodDemand_Crops,3.7404,4.47018,3.69081,3.86152,4.01929,4.1881,4.34508,4.45033,4.54253,4.61497,4.66969,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Argentina,Wheat,NonFoodDemand_Crops,1.0184,1.45727,1.89948,1.97624,2.04792,2.11227,2.16942,2.21943,2.26282,2.29628,2.32087,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Corn,FeedCrops,10.7046,23.5216,27.3877,23.8029,24.2132,24.84,24.9147,23.8997,22.6702,21.7008,21.3154,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Corn,FoodDemand_Crops,3.30707,4.55561,4.78951,4.99434,5.17241,5.39103,5.58097,5.69075,5.77004,5.81913,5.83425,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Corn,NonFoodDemand_Crops,11.7723,11.7041,16.3215,17.0084,17.6441,18.2031,18.6551,19.0002,19.243,19.3845,19.4127,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,FiberCrop,FeedCrops,0.32509,0.735647,0.664555,0.570675,0.596829,0.640468,0.681905,0.763372,0.838297,0.903084,0.931634,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,FiberCrop,FoodDemand_Crops,0.104615,0.210593,0.23143,0.241327,0.249932,0.260495,0.269674,0.274978,0.278809,0.281181,0.281912,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,FiberCrop,NonFoodDemand_Crops,1.79482,2.39661,2.62217,2.73252,2.83465,2.92446,2.99708,3.05253,3.09154,3.11427,3.1188,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,FodderHerb,FodderHerb_Residue,38.3451,49.1517,54.6512,59.182,62.9947,71.4342,80.7185,87.9847,91.2293,90.501,87.0893,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Forest,NonFoodDemand_Forest,0.196521,0.254425,0.268736,0.280045,0.290512,0.299717,0.307159,0.312841,0.316839,0.319169,0.319633,0.0,0.0,0.0,billion m3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,MiscCrop,FeedCrops,5.66E-5,8.57E-5,3.45E-5,3.00413E-5,3.1836E-5,3.41447E-5,3.59498E-5,3.59484E-5,3.51358E-5,3.33989E-5,3.10719E-5,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,MiscCrop,FoodDemand_Crops,23.0128,32.1638,36.7144,38.2846,39.6496,41.3254,42.7815,43.623,44.2308,44.6071,44.723,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,MiscCrop,NonFoodDemand_Crops,6.31533,8.01419,10.0904,10.5151,10.9081,11.2537,11.5331,11.7465,11.8966,11.9841,12.0015,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OilCrop,FeedCrops,2.05004,8.27616,9.36218,8.38375,8.894,9.39143,9.78559,10.0317,10.3025,10.5399,10.5398,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OilCrop,FoodDemand_Crops,2.45437,3.40927,3.56025,3.71251,3.84488,4.00738,4.14858,4.23018,4.28912,4.32561,4.33686,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OilCrop,NonFoodDemand_Crops,2.22791,4.47679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OilCrop,regional biomassOil,0.0,0.0,12.5069,13.2419,12.481,14.9048,18.721,21.7068,23.0336,20.2298,17.3385,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OtherGrain,FeedCrops,0.174804,1.46377,1.64668,1.45043,1.52323,1.64353,1.76196,1.99097,2.20821,2.3625,2.40707,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OtherGrain,FoodDemand_Crops,0.246599,0.560803,0.410804,0.428373,0.443646,0.462397,0.478689,0.488105,0.494906,0.499116,0.500414,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,OtherGrain,NonFoodDemand_Crops,0.98364,1.53185,1.97485,2.05796,2.13488,2.20252,2.25721,2.29897,2.32835,2.34547,2.34888,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,PalmFruit,FeedCrops,0.0347285,0.0359995,0.0439001,0.0372452,0.0388596,0.0410194,0.0425435,0.0443688,0.0454707,0.0500151,0.0567976,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,PalmFruit,FoodDemand_Crops,0.514552,2.90183,3.07479,3.20629,3.3206,3.46095,3.5829,3.65337,3.70427,3.73579,3.7455,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,PalmFruit,NonFoodDemand_Crops,0.267651,0.759246,1.35098,1.40784,1.46046,1.50673,1.54414,1.57271,1.59281,1.60452,1.60685,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Pasture,Pasture_FodderGrass,283.395,437.907,464.748,484.391,494.453,509.934,516.094,492.884,472.764,445.169,421.906,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Rice,FoodDemand_Crops,9.08201,10.1282,9.92622,10.3507,10.7198,11.1729,11.5665,11.794,11.9584,12.0601,12.0914,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Rice,NonFoodDemand_Crops,1.50391,2.60331,2.54781,2.65503,2.75427,2.84153,2.91209,2.96596,3.00387,3.02595,3.03036,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Root_Tuber,FeedCrops,6.44319,10.5925,9.83492,8.52675,8.9605,9.44127,9.73289,9.08256,8.30989,7.42945,6.52831,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Root_Tuber,FoodDemand_Crops,9.88323,11.5986,11.9807,12.493,12.9385,13.4853,13.9605,14.2351,14.4334,14.5562,14.594,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Root_Tuber,NonFoodDemand_Crops,10.0035,6.98494,8.08367,8.42386,8.73871,9.01558,9.23945,9.41038,9.53063,9.60071,9.61468,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,SugarCrop,FeedCrops,4.37881,3.68376,5.67316,4.95523,5.47602,5.55179,5.44471,5.42902,5.74712,6.72504,7.53522,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,SugarCrop,FoodDemand_Crops,7.75071,9.4536,10.5858,11.0386,11.4321,11.9153,12.3352,12.5778,12.753,12.8615,12.895,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,SugarCrop,NonFoodDemand_Crops,104.469,253.623,365.22,380.59,394.815,407.324,417.438,425.161,430.594,433.76,434.391,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,SugarCrop,regional sugar for ethanol,142.751,169.765,293.351,355.033,245.647,500.658,842.284,854.348,725.441,277.282,40.7521,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Wheat,FeedCrops,0.0,0.181222,0.268323,0.237913,0.251017,0.269744,0.287462,0.302629,0.316465,0.32014,0.311479,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Wheat,FoodDemand_Crops,6.5919,9.73268,10.3224,10.7639,11.1476,11.6188,12.0282,12.2648,12.4357,12.5415,12.5741,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Brazil,Wheat,NonFoodDemand_Crops,0.0940266,0.447663,1.17748,1.22703,1.27289,1.31322,1.34583,1.37073,1.38824,1.39845,1.40049,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,Corn,FeedCrops,0.695257,2.21177,2.33435,2.59104,2.87258,3.29779,3.67013,4.73742,4.78732,4.63668,4.58407,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,Corn,FoodDemand_Crops,2.5957,3.14448,3.41185,3.63388,3.84405,4.0468,4.23272,4.36035,4.46478,4.54655,4.60456,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,Corn,NonFoodDemand_Crops,1.53079,2.62347,3.09384,3.26968,3.43014,3.57441,3.70109,3.80835,3.89509,3.9619,4.00786,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,FiberCrop,FeedCrops,0.0183744,0.0031381,0.001533,0.00168126,0.00191633,0.00230129,0.00271864,0.00409532,0.0047911,0.0052223,0.00542256,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,FiberCrop,FoodDemand_Crops,0.0402728,0.003726,0.00113825,0.00121232,0.00128244,0.00135008,0.00141211,0.00145468,0.00148952,0.0015168,0.00153615,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,FiberCrop,NonFoodDemand_Crops,0.250438,0.0892214,0.0977147,0.103268,0.108336,0.112893,0.116894,0.120281,0.123021,0.125131,0.126583,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,FodderGrass,Pasture_FodderGrass,0.0177,0.01885,0.02,0.0224696,0.0253461,0.0288405,0.0318292,0.0276343,0.0268104,0.025333,0.0239259,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,FodderHerb,FodderHerb_Residue,8.08501,6.01141,6.73366,7.86351,9.04476,10.5352,11.9497,14.6642,15.0744,14.4846,13.6121,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,Forest,NonFoodDemand_Forest,0.0436243,0.0496974,0.0506216,0.0534987,0.0561241,0.0584846,0.0605574,0.0623123,0.0637317,0.0648248,0.0655768,0.0,0.0,0.0,billion m3,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,MiscCrop,FeedCrops,0.20519,0.984412,0.54262,0.603435,0.696955,0.836493,0.977213,1.31491,1.36916,1.31684,1.23308,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,MiscCrop,FoodDemand_Crops,8.33953,13.5126,13.8657,14.768,15.6222,16.4461,17.2017,17.7204,18.1448,18.4771,18.7129,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,MiscCrop,NonFoodDemand_Crops,2.61146,4.11019,3.69511,3.90513,4.09677,4.26907,4.42038,4.54847,4.65208,4.73187,4.78676,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OilCrop,FeedCrops,0.324232,1.02764,1.11887,1.27961,1.47949,1.74823,2.02119,2.78816,3.05053,3.15765,3.17821,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OilCrop,FoodDemand_Crops,0.371376,0.625058,0.632118,0.673254,0.712193,0.749756,0.784203,0.807848,0.827196,0.842346,0.853094,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OilCrop,NonFoodDemand_Crops,0.61616,1.11046,0.798585,0.843973,0.885391,0.922629,0.955329,0.983013,1.0054,1.02265,1.03451,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OilCrop,regional biomassOil,0.0,0.0,0.0,0.353502,0.498724,0.639491,0.728394,1.16749,1.08354,0.928561,0.819317,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OtherGrain,FeedCrops,0.161573,0.156536,0.129067,0.145189,0.16618,0.200652,0.23868,0.362918,0.428815,0.464191,0.476036,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OtherGrain,FoodDemand_Crops,0.275119,0.28123,0.316274,0.336856,0.356339,0.375133,0.392368,0.404199,0.413879,0.421459,0.426837,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,OtherGrain,NonFoodDemand_Crops,0.479477,0.407153,0.3864,0.408361,0.428401,0.446419,0.462241,0.475636,0.48647,0.494814,0.500554,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,PalmFruit,FeedCrops,0.01418,0.0560322,0.0695309,0.0753387,0.0856684,0.101196,0.116456,0.163429,0.178431,0.19858,0.226981,0.0,0.0,0.0,Mt,
"NDC_NOCCS,date=2018-3-8T16:14:30-04:00",Central America and Caribbean,PalmFruit,FoodDemand_Crops,0.339185,0.565614,0.549943,0.585732,0.619609,0.652289,0.682258,0.702829,0.719662,0.732843,0.742193,0.0,0.0,0.0,Mt,
